Supply and disposition,Gross withdrawals
16-Nov,15829899.50
16-Dec,17682496.40
17-Jan,17248195.10
17-Feb,15385845.50
17-Mar,17165011.80
17-Apr,16009959.60
17-May,16261275.60
17-Jun,15415719.40
17-Jul,16365533.10
17-Aug,16030197.60
17-Sep,15835798.20
17-Oct,16693411.20
17-Nov,17243787.60
17-Dec,17962703.60
18-Jan,18093571.60
18-Feb,16376488.50
18-Mar,18162467.00
18-Apr,17113326.70
18-May,16981550.90
18-Jun,16281568.20
18-Jul,17283554.30
18-Aug,17294761.20
18-Sep,16423814.20
18-Oct,17065345.10
18-Nov,16726318.40
18-Dec,18128470.80
19-Jan,17654878.30
19-Feb,15583799.30
19-Mar,17610223.30
19-Apr,16754183.30
19-May,16499016.70
19-Jun,15994348.80
19-Jul,16563137.60
19-Aug,16457384.70
19-Sep,15806051.10
19-Oct,16754715.20
19-Nov,17163459.20
19-Dec,17975579.50
20-Jan,17298017.50
20-Feb,16472981.80
20-Mar,17466475.50
20-Apr,16445108.60
20-May,16563320.10
20-Jun,15873886.50
20-Jul,15915284.40
20-Aug,15998611.00
20-Sep,15136392.80
20-Oct,16526510.20
20-Nov,16533535.60
20-Dec,17258449.60
21-Jan,17409062.00
21-Feb,15407972.40
21-Mar,17536351.90
21-Apr,16698927.30
21-May,16977638.90
21-Jun,16369284.40
21-Jul,17153347.50
21-Aug,17438416.60
21-Sep,16748811.90
21-Oct,17391390.90
21-Nov,17639070.00
21-Dec,18111900.40
22-Jan,18136418.30
22-Feb,16690108.10
22-Mar,18598240.50
22-Apr,18133072.00
22-May,18188229.70
22-Jun,17386006.80
22-Jul,18500563.80
22-Aug,18294436.20
22-Sep,17552218.00
22-Oct,18574155.50
22-Nov,18543254.30
22-Dec,19144325.60
23-Jan,19304814.70
23-Feb,17489700.30
23-Mar,19414651.00
23-Apr,18593022.10
23-May,17391016.00
23-Jun,16958989.90
23-Jul,18679080.70
23-Aug,18920804.90
23-Sep,17898675.10
23-Oct,19115237.60
23-Nov,19136435.20
23-Dec,20149558.60
